Length	Freq
1	42
2	139
3	1264
4	4772
5	9387
6	16119
7	21801
8	27156
9	29273
10	27748
11	23427
12	18407
13	13597
14	8914
15	5480
16	3097
17	1687
18	787
19	405
20	191
21	79
22	39
23	17
24	5
28	1
